Source,UPM,XOPQ,XOPQ ‰,XOUC,XOUC ‰,XOLC,XOLC ‰,XOFI,XOFI ‰,XTRA,XTRA ‰,XTUC,XTUC ‰,XTLC,XTLC ‰,XTFI,XTFI ‰,XTAB,XTAB ‰,GRAD,GRAD ‰,XTSB,XTSB ‰,XUCS,XUCS ‰,XUCR,XUCR ‰,XLCS,XLCS ‰,XLCR,XLCR ‰,XFIR,XFIR ‰,YOPQ,YOPQ ‰,YOUC,YOUC ‰,YOLC,YOLC ‰,YOFI,YOFI ‰,YTAS,YTAS ‰,YTDE,YTDE ‰,YTOS,YTOS ‰,YTUO,YTUO ‰,YTLO,YTLO ‰,YTDO,YTDO ‰,YTAO,YTAO ‰,YTFO,YTFO ‰,YTRA,YTRA ‰,YTUC,YTUC ‰,YTLC,YTLC ‰,YTFI,YTFI ‰,PWGT,PWGT ‰,PWDT,PWDT ‰,POPS,POPS ‰,UDLN,UDLN ‰
RobotoExtremo-opsz36wght700.ufo,2048,409,200,409,200,0,0,,,385,188,385,188,658,322,611,299,1113,544,385,188,,,100,49,66,32,79,39,44,22,48,24,337,165,337,165,0,0,0,0,1489,727,-417,-204,-24,-11,-24,-11,-27,-13,-438,-213,1510,738,-24,-11,1907,932,1456,711,973,475,1456,711,385,188,385,188,,,-120,-58
RobotoExtremo-opsz18wght900.ufo,2048,491,240,491,240,0,0,,,280,137,280,137,665,325,711,347,1326,648,280,137,,,89,44,59,29,67,33,39,19,64,31,392,192,392,192,0,0,0,0,1486,726,-416,-203,-23,-11,-23,-11,-28,-13,-438,-214,1508,736,-23,-11,1902,929,1456,711,977,477,1456,711,280,137,280,137,,,-56,-27
RobotoExtremo-opsz24wght900.ufo,2048,522,255,522,255,0,0,,,226,111,226,111,664,325,705,344,1328,649,226,111,,,75,37,49,24,53,26,31,15,53,26,423,207,423,207,0,0,0,0,1478,722,-416,-203,-22,-11,-22,-11,-27,-13,-438,-214,1499,732,-22,-11,1894,925,1456,711,958,468,1456,711,226,111,226,111,,,-48,-23
RobotoExtremo-opsz36wght900.ufo,2048,562,275,562,275,0,0,,,156,77,156,77,663,324,696,340,1331,650,156,77,,,57,28,36,18,35,18,20,10,39,19,462,226,462,226,0,0,0,0,1467,716,-416,-203,-21,-10,-21,-10,-27,-13,-439,-214,1489,727,-21,-10,1883,920,1456,711,936,457,1456,711,156,77,156,77,,,-39,-19
RobotoExtremo-opsz24wghtminwdthmax.ufo,2048,73,36,73,36,0,0,,,973,476,973,476,802,392,937,458,1288,629,973,476,,,183,90,120,59,155,76,91,45,139,68,62,30,62,30,0,0,0,0,1530,747,-416,-203,-29,-14,-29,-14,-30,-14,-436,-212,1550,757,-29,-14,1946,951,1456,711,1042,509,1456,711,973,476,973,476,,,28,14
RobotoExtremo-opsz36wght700wdthmax.ufo,2048,417,204,417,204,0,0,,,570,279,570,279,834,408,809,395,1305,638,570,279,,,117,57,66,32,90,44,49,24,42,21,340,166,340,166,0,0,0,0,1489,727,-413,-201,-24,-12,-24,-12,-29,-14,-438,-213,1510,738,-24,-12,1902,929,1456,711,973,475,1456,711,570,279,570,279,,,1,1
RobotoExtremo-opsz144wght500wdthmax.ufo,2048,208,102,208,102,0,0,,,980,479,980,479,837,409,1100,537,1463,715,980,479,,,212,104,74,36,168,82,77,38,76,37,179,87,179,87,0,0,0,0,1456,711,-410,-200,-24,-11,-24,-11,-31,-15,-436,-213,1478,722,-23,-11,1866,912,1456,711,914,447,1456,711,980,479,980,479,,,-127,-62
RobotoExtremo-opszmax-wghtmin-wdthmin-GRADmin.ufo,2048,5,2,5,2,0,0,,,141,69,141,69,113,56,138,67,227,111,141,69,,,55,27,45,22,46,23,41,20,43,21,5,2,5,2,0,0,0,0,1456,711,-416,-203,-4,-2,-4,-2,-4,-2,-437,-213,1475,721,-4,-2,1872,915,1456,711,914,447,1456,711,141,69,141,69,,,-251,-122
RobotoExtremo-opszmax-wghtmin-wdthmin-GRADmax.ufo,2048,15,8,15,8,0,0,,,125,61,125,61,110,54,135,66,227,111,125,61,,,52,26,42,21,44,22,38,19,39,19,15,8,15,8,0,0,0,0,1456,711,-416,-203,-4,-2,-4,-2,-4,-2,-437,-213,1475,721,-4,-2,1872,915,1456,711,914,447,1456,711,125,61,125,61,,,-250,-122
RobotoExtremo-opszmax-wghtmin-wdthmax-GRADmin.ufo,2048,9,4,9,4,0,0,,,1263,617,1263,617,909,444,1204,588,1463,715,1263,617,,,251,123,93,46,193,95,81,40,126,62,9,4,9,4,0,0,0,0,1456,711,-416,-203,-24,-11,-24,-11,-30,-14,-436,-212,1478,722,-24,-11,1872,915,1456,711,914,447,1455,711,1263,617,1263,617,,,-176,-85
RobotoExtremo-opszmax-wghtmin-wdthmax-GRADmax.ufo,2048,20,10,20,10,0,0,,,1246,608,1246,608,905,442,1200,586,1463,715,1246,608,,,248,121,89,44,190,93,78,38,121,59,21,10,21,10,0,0,0,0,1456,711,-416,-203,-24,-11,-24,-11,-30,-14,-436,-212,1478,722,-24,-11,1872,915,1456,711,914,447,1455,711,1246,608,1246,608,,,-175,-85
RobotoExtremo-opszmax-wghtmin-GRADmax.ufo,2048,20,10,20,10,0,0,,,836,408,836,408,658,322,679,332,900,440,836,408,,,148,73,89,44,120,59,58,29,100,49,19,9,19,9,0,0,0,0,1454,710,-444,-216,-20,-9,-20,-9,-20,-9,-436,-212,1478,722,-20,-9,1898,927,1456,711,914,447,1456,711,836,408,836,408,,,-224,-109
RobotoExtremo-opszmax-wghtmin-GRADmin.ufo,2048,8,4,8,4,0,0,,,854,417,854,417,663,324,683,334,900,440,854,417,,,151,74,93,46,124,61,61,30,106,52,6,3,6,3,0,0,0,0,1454,710,-444,-216,-20,-9,-20,-9,-20,-9,-436,-212,1478,722,-20,-9,1898,927,1456,711,914,447,1456,711,854,417,854,417,,,-225,-109
RobotoExtremo-opszmax-wghtmax-GRADmax.ufo,2048,607,296,607,296,0,0,,,81,40,81,40,660,323,687,336,1333,651,81,40,,,39,19,22,11,16,8,9,5,24,12,506,247,506,247,0,0,0,0,1456,711,-416,-203,-20,-9,-20,-9,-27,-13,-440,-214,1478,722,-20,-9,1872,915,1456,711,914,447,1456,711,81,40,81,40,,,-29,-14
RobotoExtremo-opszmax-wghtmax-GRADmin.ufo,2048,539,264,539,264,0,0,,,172,84,172,84,701,343,693,339,1333,651,172,84,,,60,30,44,22,28,14,27,14,55,27,437,214,437,214,0,0,0,0,1456,711,-416,-203,-20,-9,-20,-9,-27,-13,-440,-214,1478,722,-20,-9,1872,915,1456,711,914,447,1456,711,172,84,172,84,,,-29,-14
RobotoExtremo-opszmax-wghtmax-wdthmin-GRADmax.ufo,2048,492,240,492,240,0,0,,,29,14,29,14,508,248,501,245,1008,493,29,14,,,10,5,6,3,8,4,4,2,10,5,499,244,499,244,0,0,0,0,1456,711,-388,-189,-21,-10,-21,-10,-22,-10,-441,-215,1478,722,-20,-9,1844,901,1456,711,914,447,1456,711,29,14,29,14,,,-56,-27
RobotoExtremo-opszmin-wghtmin-GRADmin.ufo,2048,60,30,60,30,0,0,,,881,431,881,431,707,345,782,382,1193,583,881,431,,,184,90,129,63,155,76,97,48,175,86,55,27,55,27,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1089,532,1456,711,881,431,881,431,,,-255,-124
RobotoExtremo-opsz8-wght100-wdth100-XOPQmin.ufo,2048,51,25,51,25,0,0,,,824,403,824,403,630,308,727,355,1193,583,824,403,,,170,83,115,57,148,73,85,42,208,102,98,48,98,48,0,0,0,0,1536,750,-416,-203,-30,-14,-30,-14,-30,-14,-436,-212,1556,760,-30,-14,1952,954,1456,711,1090,532,1456,711,824,403,824,403,,,-256,-125
